Certificate,AcademicYear,Count
PAC,2013,76
PAC,2014,92
PAC,2015,123
PAC,2016,124
PAC,2017,121
FIN,2013,71
FIN,2014,83
FIN,2015,82
FIN,2016,94
FIN,2017,73
FIN,2018,1
GHP,2013,47
GHP,2014,47
GHP,2015,49
GHP,2016,56
GHP,2017,45
AMS,2013,24
AMS,2014,23
AMS,2015,21
AMS,2016,21
AMS,2017,33
ENV,2013,47
ENV,2014,55
ENV,2015,40
ENV,2016,38
ENV,2017,31
NEU,2013,46
NEU,2014,44
NEU,2015,35
NEU,2016,55
NEU,2017,31
RIS,2013,14
RIS,2014,18
RIS,2015,27
RIS,2016,35
RIS,2017,30
CWR,2013,22
CWR,2014,25
CWR,2015,27
CWR,2016,24
CWR,2017,27
SML,2014,9
SML,2015,20
SML,2016,24
SML,2017,27
LAS,2013,27
LAS,2014,36
LAS,2015,19
LAS,2016,29
LAS,2017,26
EMS,2013,28
EMS,2014,10
EMS,2015,39
EMS,2016,22
EMS,2017,25
SPA,2013,16
SPA,2014,25
SPA,2015,28
SPA,2016,31
SPA,2017,25
VPL,2013,12
VPL,2014,10
VPL,2015,18
VPL,2016,18
VPL,2017,22
THR,2013,29
THR,2014,22
THR,2015,28
THR,2016,25
THR,2017,21
PEB,2013,31
PEB,2014,29
PEB,2015,27
PEB,2016,25
PEB,2017,20
URB,2013,18
URB,2014,18
URB,2015,9
URB,2016,19
URB,2017,19
LIN,2013,11
LIN,2014,13
LIN,2015,8
LIN,2016,10
LIN,2017,17
EAS,2013,21
EAS,2014,18
EAS,2015,19
EAS,2016,16
EAS,2017,16
GSS,2013,14
GSS,2014,14
GSS,2015,11
GSS,2016,12
GSS,2017,16
HUM,2013,1
HUM,2014,6
HUM,2015,9
HUM,2016,9
HUM,2017,16
ENT,2017,11
AAS,2013,37
AAS,2014,25
AAS,2015,21
AAS,2016,19
AAS,2017,12
